REGION,TERRITORIO
60 PUEBLA,6005 ORIZABA
20 NORESTE,2007 POZA RICA
52 VALLE DE TOLUCA,5205 ATLACOMULCO
33 BAJIO,3301 LEON
11 PACIFICO,1101 LA PAZ
63 GOLFO,6301 ACAYUCAN
30 COSTA OCCIDENTE,3002 JALISCO SUR
62 PENINSULA,6201 CANCUN
33 BAJIO,3303 IRAPUATO
42 SUR,4206 PUNGARABATO
50 METRO NORPONIENTE,5002 ATIZAPAN
62 PENINSULA,6204 UMAN
20 NORESTE,2001 REYNOSA
21 HUASTECA,2106 PACHUCA
61 CHIAPAS,6102 TAPACHULA
52 VALLE DE TOLUCA,5205 ATLACOMULCO
50 METRO NORPONIENTE,5004 COACALCO
40 METRO ORIENTE,4002 NEZAHUALCOYOTL
40 METRO ORIENTE,4002 NEZAHUALCOYOTL
42 SUR,4202 JIUTEPEC
31 JALISCO,3103 GUADALAJARA
60 PUEBLA,6006 XALAPA
21 HUASTECA,2102 SAN LUIS POTOSÍ
52 VALLE DE TOLUCA,5205 ATLACOMULCO
12 LAGUNA CHIHUAHUA,1201 DURANGO
30 COSTA OCCIDENTE,3002 JALISCO SUR
60 PUEBLA,6002 PUEBLA
61 CHIAPAS,6101 TUXTLA
11 PACIFICO,1101 LA PAZ
41 METRO SURORIENTE,4105 TLAHUAC
20 NORESTE,2001 REYNOSA
21 HUASTECA,2101 AGUASCALIENTES
20 NORESTE,2007 POZA RICA
10 FRONTERA OESTE,1001 TIJUANA
61 CHIAPAS,6103 MEZCALAPA
41 METRO SURORIENTE,4107 XOCHIMILCO
40 METRO ORIENTE,4004 TEXCOCO
32 MICHOACÁN,3203 ZACAPU
60 PUEBLA,6006 XALAPA
20 NORESTE,2004 SAN PEDRO GARZA
60 PUEBLA,6001 TEHUACAN
61 CHIAPAS,6101 TUXTLA
61 CHIAPAS,6102 TAPACHULA
42 SUR,4202 JIUTEPEC
20 NORESTE,2003 MONTERREY
42 SUR,4201 CUERNAVACA
20 NORESTE,2008 MARTINEZ DE LA TORRE
11 PACIFICO,1104 TEPIC
60 PUEBLA,6001 TEHUACAN
63 GOLFO,6303 VILLAHERMOSA
63 GOLFO,6303 VILLAHERMOSA
41 METRO SURORIENTE,4101 IZTAPALAPA
10 FRONTERA OESTE,1003 GUAYMAS Y NOGALES
41 METRO SURORIENTE,4103 COYOACAN
10 FRONTERA OESTE,1001 TIJUANA
60 PUEBLA,6001 TEHUACAN
51 METRO PONIENTE,5104 HUIXQUILUCAN
63 GOLFO,6303 VILLAHERMOSA
50 METRO NORPONIENTE,5003 TLALNEPANTLA
20 NORESTE,2008 MARTINEZ DE LA TORRE
11 PACIFICO,1103 MAZATLAN CULIACAN
42 SUR,4206 PUNGARABATO
50 METRO NORPONIENTE,5003 TLALNEPANTLA
50 METRO NORPONIENTE,5003 TLALNEPANTLA
50 METRO NORPONIENTE,5005 AZCAPOTZALCO
11 PACIFICO,1101 LA PAZ
10 FRONTERA OESTE,1001 TIJUANA
41 METRO SURORIENTE,4104 TLALPAN
42 SUR,4202 JIUTEPEC
32 MICHOACÁN,3203 ZACAPU
31 JALISCO,3101 ALTOS JALISCO
31 JALISCO,3103 GUADALAJARA
20 NORESTE,2008 MARTINEZ DE LA TORRE
21 HUASTECA,2107 TULANCINGO
41 METRO SURORIENTE,4103 COYOACAN
41 METRO SURORIENTE,4107 XOCHIMILCO
21 HUASTECA,2107 TULANCINGO
12 LAGUNA CHIHUAHUA,1202 TORREON
30 COSTA OCCIDENTE,3001 PUERTO VALLARTA
41 METRO SURORIENTE,4102 ALVARO OBREGON
50 METRO NORPONIENTE,5002 ATIZAPAN
12 LAGUNA CHIHUAHUA,1205 COAHUILA
10 FRONTERA OESTE,1004 HERMOSILLO
40 METRO ORIENTE,4005 ACOLMAN
40 METRO ORIENTE,4005 ACOLMAN
51 METRO PONIENTE,5104 HUIXQUILUCAN
40 METRO ORIENTE,4004 TEXCOCO
10 FRONTERA OESTE,1001 TIJUANA
21 HUASTECA,2103 SAN LUIS FORANEO
21 HUASTECA,2104 ZACATECAS
52 VALLE DE TOLUCA,5207 TEXMELUCAN
12 LAGUNA CHIHUAHUA,1204 CHIHUAHUA DELICIAS
61 CHIAPAS,6102 TAPACHULA
31 JALISCO,3101 ALTOS JALISCO
51 METRO PONIENTE,5106 NAUCALPAN
40 METRO ORIENTE,4006 ECATEPEC
40 METRO ORIENTE,4003 CHIMALHUACAN
11 PACIFICO,1103 MAZATLAN CULIACAN
63 GOLFO,6301 ACAYUCAN
42 SUR,4203 CUAUTLA
42 SUR,4204 QUECHULTENANGO
52 VALLE DE TOLUCA,5206 CHIAUTEMPAN
41 METRO SURORIENTE,4105 TLAHUAC
10 FRONTERA OESTE,1002 MEXICALI
50 METRO NORPONIENTE,5004 COACALCO
30 COSTA OCCIDENTE,3003 OCOTLAN
10 FRONTERA OESTE,1001 TIJUANA
60 PUEBLA,6003 ZACAPOAXTLA
60 PUEBLA,6004 VERACRUZ
63 GOLFO,6304 HUIMANGUILLO
21 HUASTECA,2106 PACHUCA
21 HUASTECA,2102 SAN LUIS POTOSÍ
40 METRO ORIENTE,4005 ACOLMAN
60 PUEBLA,6001 TEHUACAN
63 GOLFO,6301 ACAYUCAN
41 METRO SURORIENTE,4102 ALVARO OBREGON
33 BAJIO,3303 IRAPUATO
21 HUASTECA,2104 ZACATECAS
20 NORESTE,2002 GUADALUPE
63 GOLFO,6302 COATZACOALCOS
60 PUEBLA,6002 PUEBLA
20 NORESTE,2003 MONTERREY
30 COSTA OCCIDENTE,3001 PUERTO VALLARTA
51 METRO PONIENTE,5104 HUIXQUILUCAN
20 NORESTE,2003 MONTERREY
51 METRO PONIENTE,5106 NAUCALPAN
32 MICHOACÁN,3204 PATZCUARO
10 FRONTERA OESTE,1002 MEXICALI
12 LAGUNA CHIHUAHUA,1205 COAHUILA
30 COSTA OCCIDENTE,3004 COLIMA
31 JALISCO,3105 TLAQUEPAQUE
41 METRO SURORIENTE,4103 COYOACAN
21 HUASTECA,2106 PACHUCA
33 BAJIO,3304 CELAYA
41 METRO SURORIENTE,4101 IZTAPALAPA
51 METRO PONIENTE,5101 CUAUHTEMOC
40 METRO ORIENTE,4003 CHIMALHUACAN
52 VALLE DE TOLUCA,5201 TOLUCA
33 BAJIO,3304 CELAYA
50 METRO NORPONIENTE,5004 COACALCO
42 SUR,4206 PUNGARABATO
32 MICHOACÁN,3203 ZACAPU
62 PENINSULA,6203 MERIDA
33 BAJIO,3304 CELAYA
62 PENINSULA,6203 MERIDA
32 MICHOACÁN,3203 ZACAPU
10 FRONTERA OESTE,1002 MEXICALI
51 METRO PONIENTE,5103 BENITO JUAREZ
11 PACIFICO,1103 MAZATLAN CULIACAN
10 FRONTERA OESTE,1001 TIJUANA
20 NORESTE,2001 REYNOSA
11 PACIFICO,1101 LA PAZ
21 HUASTECA,2102 SAN LUIS POTOSÍ
11 PACIFICO,1102 SINALOA
52 VALLE DE TOLUCA,5203 LERMA
42 SUR,4201 CUERNAVACA
50 METRO NORPONIENTE,5005 AZCAPOTZALCO
42 SUR,4208 OAXACA
61 CHIAPAS,6103 MEZCALAPA
31 JALISCO,3103 GUADALAJARA
60 PUEBLA,6003 ZACAPOAXTLA
62 PENINSULA,6203 MERIDA
52 VALLE DE TOLUCA,5201 TOLUCA
50 METRO NORPONIENTE,5003 TLALNEPANTLA
41 METRO SURORIENTE,4102 ALVARO OBREGON
42 SUR,4208 OAXACA
30 COSTA OCCIDENTE,3002 JALISCO SUR
31 JALISCO,3104 TONALA
10 FRONTERA OESTE,1002 MEXICALI
50 METRO NORPONIENTE,5001 CUAUTITLAN IZCALLI
51 METRO PONIENTE,5105 TECAMAC
42 SUR,4202 JIUTEPEC
21 HUASTECA,2102 SAN LUIS POTOSÍ
30 COSTA OCCIDENTE,3003 OCOTLAN
11 PACIFICO,1101 LA PAZ
32 MICHOACÁN,3204 PATZCUARO
51 METRO PONIENTE,5101 CUAUHTEMOC
50 METRO NORPONIENTE,5001 CUAUTITLAN IZCALLI
50 METRO NORPONIENTE,5004 COACALCO
10 FRONTERA OESTE,1001 TIJUANA
30 COSTA OCCIDENTE,3002 JALISCO SUR
33 BAJIO,3305 QUERÉTARO
42 SUR,4207 TLACOLULA
21 HUASTECA,2106 PACHUCA
11 PACIFICO,1104 TEPIC
31 JALISCO,3103 GUADALAJARA
10 FRONTERA OESTE,1004 HERMOSILLO
33 BAJIO,3304 CELAYA
50 METRO NORPONIENTE,5005 AZCAPOTZALCO
62 PENINSULA,6203 MERIDA
31 JALISCO,3101 ALTOS JALISCO
60 PUEBLA,6006 XALAPA
12 LAGUNA CHIHUAHUA,1203 JUAREZ
51 METRO PONIENTE,5106 NAUCALPAN
30 COSTA OCCIDENTE,3004 COLIMA
33 BAJIO,3303 IRAPUATO
40 METRO ORIENTE,4003 CHIMALHUACAN
32 MICHOACÁN,3201 MORELIA
60 PUEBLA,6003 ZACAPOAXTLA
32 MICHOACÁN,3202 URUAPAN
40 METRO ORIENTE,4001 GUSTAVO A. MADERO
63 GOLFO,6304 HUIMANGUILLO
63 GOLFO,6305 CIUDAD DEL CARMEN
11 PACIFICO,1104 TEPIC
12 LAGUNA CHIHUAHUA,1203 JUAREZ
61 CHIAPAS,6101 TUXTLA
61 CHIAPAS,6102 TAPACHULA
21 HUASTECA,2101 AGUASCALIENTES
61 CHIAPAS,6101 TUXTLA
10 FRONTERA OESTE,1003 GUAYMAS Y NOGALES
52 VALLE DE TOLUCA,5201 TOLUCA
11 PACIFICO,1103 MAZATLAN CULIACAN
32 MICHOACÁN,3204 PATZCUARO
50 METRO NORPONIENTE,5001 CUAUTITLAN IZCALLI
61 CHIAPAS,6103 MEZCALAPA
21 HUASTECA,2107 TULANCINGO
20 NORESTE,2006 TAMPICO
62 PENINSULA,6203 MERIDA
20 NORESTE,2003 MONTERREY
61 CHIAPAS,6103 MEZCALAPA
52 VALLE DE TOLUCA,5203 LERMA
11 PACIFICO,1103 MAZATLAN CULIACAN
11 PACIFICO,1102 SINALOA
21 HUASTECA,2102 SAN LUIS POTOSÍ
60 PUEBLA,6003 ZACAPOAXTLA
63 GOLFO,6303 VILLAHERMOSA
21 HUASTECA,2101 AGUASCALIENTES
21 HUASTECA,2105 TULA
50 METRO NORPONIENTE,5002 ATIZAPAN
42 SUR,4205 ACAPULCO
62 PENINSULA,6204 UMAN
20 NORESTE,2001 REYNOSA
33 BAJIO,3301 LEON
60 PUEBLA,6002 PUEBLA
60 PUEBLA,6005 ORIZABA
60 PUEBLA,6002 PUEBLA
42 SUR,4201 CUERNAVACA
51 METRO PONIENTE,5103 BENITO JUAREZ
60 PUEBLA,6004 VERACRUZ
12 LAGUNA CHIHUAHUA,1204 CHIHUAHUA DELICIAS
63 GOLFO,6301 ACAYUCAN
30 COSTA OCCIDENTE,3001 PUERTO VALLARTA
61 CHIAPAS,6101 TUXTLA
42 SUR,4201 CUERNAVACA
42 SUR,4207 TLACOLULA
12 LAGUNA CHIHUAHUA,1204 CHIHUAHUA DELICIAS
21 HUASTECA,2104 ZACATECAS
52 VALLE DE TOLUCA,5206 CHIAUTEMPAN
11 PACIFICO,1103 MAZATLAN CULIACAN
60 PUEBLA,6004 VERACRUZ
41 METRO SURORIENTE,4107 XOCHIMILCO
41 METRO SURORIENTE,4101 IZTAPALAPA
32 MICHOACÁN,3201 MORELIA
21 HUASTECA,2107 TULANCINGO
20 NORESTE,2004 SAN PEDRO GARZA
33 BAJIO,3303 IRAPUATO
60 PUEBLA,6003 ZACAPOAXTLA
51 METRO PONIENTE,5103 BENITO JUAREZ
32 MICHOACÁN,3201 MORELIA
10 FRONTERA OESTE,1002 MEXICALI
50 METRO NORPONIENTE,5005 AZCAPOTZALCO
51 METRO PONIENTE,5105 TECAMAC
42 SUR,4202 JIUTEPEC
12 LAGUNA CHIHUAHUA,1205 COAHUILA
41 METRO SURORIENTE,4103 COYOACAN
62 PENINSULA,6204 UMAN
41 METRO SURORIENTE,4101 IZTAPALAPA
32 MICHOACÁN,3203 ZACAPU
10 FRONTERA OESTE,1001 TIJUANA
20 NORESTE,2007 POZA RICA
21 HUASTECA,2101 AGUASCALIENTES
60 PUEBLA,6002 PUEBLA
63 GOLFO,6305 CIUDAD DEL CARMEN
63 GOLFO,6303 VILLAHERMOSA
42 SUR,4205 ACAPULCO
42 SUR,4201 CUERNAVACA
61 CHIAPAS,6102 TAPACHULA
31 JALISCO,3105 TLAQUEPAQUE
60 PUEBLA,6002 PUEBLA
63 GOLFO,6302 COATZACOALCOS
50 METRO NORPONIENTE,5004 COACALCO
51 METRO PONIENTE,5105 TECAMAC
31 JALISCO,3102 ZAPOPAN
41 METRO SURORIENTE,4107 XOCHIMILCO
63 GOLFO,6303 VILLAHERMOSA
40 METRO ORIENTE,4005 ACOLMAN
50 METRO NORPONIENTE,5003 TLALNEPANTLA
21 HUASTECA,2105 TULA
42 SUR,4206 PUNGARABATO
20 NORESTE,2005 ESCOBEDO
11 PACIFICO,1101 LA PAZ
21 HUASTECA,2103 SAN LUIS FORANEO
40 METRO ORIENTE,4001 GUSTAVO A. MADERO
51 METRO PONIENTE,5105 TECAMAC
30 COSTA OCCIDENTE,3004 COLIMA
50 METRO NORPONIENTE,5006 VENUSTIANO CARRANZA
42 SUR,4201 CUERNAVACA
50 METRO NORPONIENTE,5005 AZCAPOTZALCO
33 BAJIO,3303 IRAPUATO
21 HUASTECA,2101 AGUASCALIENTES
11 PACIFICO,1103 MAZATLAN CULIACAN
41 METRO SURORIENTE,4104 TLALPAN
33 BAJIO,3304 CELAYA
41 METRO SURORIENTE,4107 XOCHIMILCO
20 NORESTE,2005 ESCOBEDO
30 COSTA OCCIDENTE,3003 OCOTLAN
42 SUR,4202 JIUTEPEC
33 BAJIO,3303 IRAPUATO
40 METRO ORIENTE,4003 CHIMALHUACAN
60 PUEBLA,6004 VERACRUZ
61 CHIAPAS,6104 JUCHITAN
21 HUASTECA,2105 TULA
60 PUEBLA,6002 PUEBLA
21 HUASTECA,2103 SAN LUIS FORANEO
21 HUASTECA,2105 TULA
41 METRO SURORIENTE,4102 ALVARO OBREGON
12 LAGUNA CHIHUAHUA,1204 CHIHUAHUA DELICIAS
42 SUR,4205 ACAPULCO
60 PUEBLA,6001 TEHUACAN
50 METRO NORPONIENTE,5004 COACALCO
60 PUEBLA,6001 TEHUACAN
63 GOLFO,6303 VILLAHERMOSA
31 JALISCO,3101 ALTOS JALISCO
10 FRONTERA OESTE,1002 MEXICALI
50 METRO NORPONIENTE,5001 CUAUTITLAN IZCALLI
10 FRONTERA OESTE,1003 GUAYMAS Y NOGALES
62 PENINSULA,6204 UMAN
20 NORESTE,2003 MONTERREY
10 FRONTERA OESTE,1001 TIJUANA
40 METRO ORIENTE,4001 GUSTAVO A. MADERO
12 LAGUNA CHIHUAHUA,1205 COAHUILA
31 JALISCO,3105 TLAQUEPAQUE
52 VALLE DE TOLUCA,5205 ATLACOMULCO
20 NORESTE,2005 ESCOBEDO
10 FRONTERA OESTE,1001 TIJUANA
52 VALLE DE TOLUCA,5206 CHIAUTEMPAN
60 PUEBLA,6001 TEHUACAN
33 BAJIO,3301 LEON
21 HUASTECA,2103 SAN LUIS FORANEO
33 BAJIO,3304 CELAYA
21 HUASTECA,2106 PACHUCA
42 SUR,4206 PUNGARABATO
52 VALLE DE TOLUCA,5207 TEXMELUCAN
12 LAGUNA CHIHUAHUA,1202 TORREON
10 FRONTERA OESTE,1003 GUAYMAS Y NOGALES
20 NORESTE,2001 REYNOSA
20 NORESTE,2002 GUADALUPE
41 METRO SURORIENTE,4105 TLAHUAC
60 PUEBLA,6005 ORIZABA
20 NORESTE,2006 TAMPICO
60 PUEBLA,6002 PUEBLA
40 METRO ORIENTE,4002 NEZAHUALCOYOTL
50 METRO NORPONIENTE,5006 VENUSTIANO CARRANZA
32 MICHOACÁN,3202 URUAPAN
52 VALLE DE TOLUCA,5201 TOLUCA
60 PUEBLA,6002 PUEBLA
62 PENINSULA,6205 PLAYA DEL CARMEN
20 NORESTE,2004 SAN PEDRO GARZA
20 NORESTE,2002 GUADALUPE
61 CHIAPAS,6102 TAPACHULA
40 METRO ORIENTE,4001 GUSTAVO A. MADERO
33 BAJIO,3301 LEON
51 METRO PONIENTE,5106 NAUCALPAN
61 CHIAPAS,6104 JUCHITAN
40 METRO ORIENTE,4001 GUSTAVO A. MADERO
31 JALISCO,3101 ALTOS JALISCO
61 CHIAPAS,6102 TAPACHULA
52 VALLE DE TOLUCA,5202 VALLE DE BRAVO
41 METRO SURORIENTE,4103 COYOACAN
40 METRO ORIENTE,4006 ECATEPEC
63 GOLFO,6302 COATZACOALCOS
12 LAGUNA CHIHUAHUA,1202 TORREON
42 SUR,4206 PUNGARABATO
41 METRO SURORIENTE,4103 COYOACAN
21 HUASTECA,2101 AGUASCALIENTES
60 PUEBLA,6002 PUEBLA
21 HUASTECA,2104 ZACATECAS
21 HUASTECA,2103 SAN LUIS FORANEO
42 SUR,4208 OAXACA
60 PUEBLA,6001 TEHUACAN
31 JALISCO,3105 TLAQUEPAQUE
50 METRO NORPONIENTE,5005 AZCAPOTZALCO
33 BAJIO,3302 SAN MIGUEL DE ALLENDE
41 METRO SURORIENTE,4103 COYOACAN
31 JALISCO,3103 GUADALAJARA
62 PENINSULA,6205 PLAYA DEL CARMEN
42 SUR,4205 ACAPULCO
52 VALLE DE TOLUCA,5204 TIANGUISTENCO
20 NORESTE,2005 ESCOBEDO
33 BAJIO,3305 QUERÉTARO
41 METRO SURORIENTE,4106 CHALCO
41 METRO SURORIENTE,4104 TLALPAN
62 PENINSULA,6202 CAMPECHE
40 METRO ORIENTE,4001 GUSTAVO A. MADERO
41 METRO SURORIENTE,4105 TLAHUAC
62 PENINSULA,6202 CAMPECHE
61 CHIAPAS,6101 TUXTLA
12 LAGUNA CHIHUAHUA,1202 TORREON
50 METRO NORPONIENTE,5004 COACALCO
41 METRO SURORIENTE,4105 TLAHUAC
51 METRO PONIENTE,5105 TECAMAC
60 PUEBLA,6004 VERACRUZ
52 VALLE DE TOLUCA,5207 TEXMELUCAN
30 COSTA OCCIDENTE,3001 PUERTO VALLARTA
62 PENINSULA,6203 MERIDA
61 CHIAPAS,6104 JUCHITAN
20 NORESTE,2005 ESCOBEDO
51 METRO PONIENTE,5103 BENITO JUAREZ
12 LAGUNA CHIHUAHUA,1205 COAHUILA
41 METRO SURORIENTE,4101 IZTAPALAPA
60 PUEBLA,6004 VERACRUZ
40 METRO ORIENTE,4005 ACOLMAN
51 METRO PONIENTE,5103 BENITO JUAREZ
10 FRONTERA OESTE,1001 TIJUANA
21 HUASTECA,2101 AGUASCALIENTES
33 BAJIO,3305 QUERÉTARO
33 BAJIO,3302 SAN MIGUEL DE ALLENDE
60 PUEBLA,6005 ORIZABA
52 VALLE DE TOLUCA,5207 TEXMELUCAN
12 LAGUNA CHIHUAHUA,1203 JUAREZ
51 METRO PONIENTE,5103 BENITO JUAREZ
20 NORESTE,2003 MONTERREY
51 METRO PONIENTE,5103 BENITO JUAREZ
31 JALISCO,3105 TLAQUEPAQUE
62 PENINSULA,6202 CAMPECHE
61 CHIAPAS,6104 JUCHITAN
40 METRO ORIENTE,4006 ECATEPEC
12 LAGUNA CHIHUAHUA,1203 JUAREZ
20 NORESTE,2008 MARTINEZ DE LA TORRE
11 PACIFICO,1101 LA PAZ
20 NORESTE,2005 ESCOBEDO
20 NORESTE,2004 SAN PEDRO GARZA
11 PACIFICO,1104 TEPIC
42 SUR,4205 ACAPULCO
41 METRO SURORIENTE,4102 ALVARO OBREGON
42 SUR,4203 CUAUTLA
20 NORESTE,2002 GUADALUPE
32 MICHOACÁN,3203 ZACAPU
42 SUR,4202 JIUTEPEC
63 GOLFO,6302 COATZACOALCOS
21 HUASTECA,2102 SAN LUIS POTOSÍ
50 METRO NORPONIENTE,5001 CUAUTITLAN IZCALLI
30 COSTA OCCIDENTE,3001 PUERTO VALLARTA
12 LAGUNA CHIHUAHUA,1204 CHIHUAHUA DELICIAS
41 METRO SURORIENTE,4103 COYOACAN
52 VALLE DE TOLUCA,5204 TIANGUISTENCO
21 HUASTECA,2106 PACHUCA
11 PACIFICO,1101 LA PAZ
52 VALLE DE TOLUCA,5201 TOLUCA
42 SUR,4202 JIUTEPEC
33 BAJIO,3303 IRAPUATO
51 METRO PONIENTE,5106 NAUCALPAN
33 BAJIO,3304 CELAYA
33 BAJIO,3305 QUERÉTARO
12 LAGUNA CHIHUAHUA,1205 COAHUILA
12 LAGUNA CHIHUAHUA,1205 COAHUILA
50 METRO NORPONIENTE,5005 AZCAPOTZALCO
40 METRO ORIENTE,4003 CHIMALHUACAN
21 HUASTECA,2106 PACHUCA
60 PUEBLA,6005 ORIZABA
60 PUEBLA,6001 TEHUACAN
20 NORESTE,2005 ESCOBEDO
33 BAJIO,3305 QUERÉTARO
33 BAJIO,3303 IRAPUATO
41 METRO SURORIENTE,4106 CHALCO
50 METRO NORPONIENTE,5004 COACALCO
32 MICHOACÁN,3202 URUAPAN
63 GOLFO,6303 VILLAHERMOSA
20 NORESTE,2003 MONTERREY
20 NORESTE,2007 POZA RICA
60 PUEBLA,6002 PUEBLA
60 PUEBLA,6004 VERACRUZ
21 HUASTECA,2105 TULA
51 METRO PONIENTE,5103 BENITO JUAREZ
51 METRO PONIENTE,5106 NAUCALPAN
41 METRO SURORIENTE,4105 TLAHUAC
61 CHIAPAS,6102 TAPACHULA
40 METRO ORIENTE,4004 TEXCOCO
62 PENINSULA,6204 UMAN
62 PENINSULA,6202 CAMPECHE
42 SUR,4205 ACAPULCO
30 COSTA OCCIDENTE,3002 JALISCO SUR
60 PUEBLA,6004 VERACRUZ
11 PACIFICO,1103 MAZATLAN CULIACAN
60 PUEBLA,6002 PUEBLA
63 GOLFO,6304 HUIMANGUILLO
41 METRO SURORIENTE,4101 IZTAPALAPA
60 PUEBLA,6005 ORIZABA
33 BAJIO,3301 LEON
31 JALISCO,3104 TONALA
12 LAGUNA CHIHUAHUA,1202 TORREON
31 JALISCO,3105 TLAQUEPAQUE
51 METRO PONIENTE,5104 HUIXQUILUCAN
31 JALISCO,3105 TLAQUEPAQUE
61 CHIAPAS,6104 JUCHITAN
12 LAGUNA CHIHUAHUA,1202 TORREON
40 METRO ORIENTE,4003 CHIMALHUACAN
63 GOLFO,6305 CIUDAD DEL CARMEN
50 METRO NORPONIENTE,5003 TLALNEPANTLA
21 HUASTECA,2102 SAN LUIS POTOSÍ
50 METRO NORPONIENTE,5006 VENUSTIANO CARRANZA
20 NORESTE,2002 GUADALUPE
51 METRO PONIENTE,5105 TECAMAC
63 GOLFO,6303 VILLAHERMOSA
52 VALLE DE TOLUCA,5202 VALLE DE BRAVO
51 METRO PONIENTE,5104 HUIXQUILUCAN
50 METRO NORPONIENTE,5003 TLALNEPANTLA
10 FRONTERA OESTE,1004 HERMOSILLO
20 NORESTE,2007 POZA RICA
62 PENINSULA,6205 PLAYA DEL CARMEN
40 METRO ORIENTE,4005 ACOLMAN
50 METRO NORPONIENTE,5003 TLALNEPANTLA
42 SUR,4203 CUAUTLA
33 BAJIO,3305 QUERÉTARO
60 PUEBLA,6001 TEHUACAN
20 NORESTE,2003 MONTERREY
30 COSTA OCCIDENTE,3003 OCOTLAN
62 PENINSULA,6202 CAMPECHE
33 BAJIO,3302 SAN MIGUEL DE ALLENDE
40 METRO ORIENTE,4004 TEXCOCO
63 GOLFO,6302 COATZACOALCOS
20 NORESTE,2003 MONTERREY
21 HUASTECA,2101 AGUASCALIENTES
41 METRO SURORIENTE,4103 COYOACAN
52 VALLE DE TOLUCA,5205 ATLACOMULCO
60 PUEBLA,6003 ZACAPOAXTLA
62 PENINSULA,6204 UMAN
11 PACIFICO,1101 LA PAZ
63 GOLFO,6303 VILLAHERMOSA
12 LAGUNA CHIHUAHUA,1201 DURANGO
10 FRONTERA OESTE,1003 GUAYMAS Y NOGALES
42 SUR,4208 OAXACA
60 PUEBLA,6003 ZACAPOAXTLA
62 PENINSULA,6204 UMAN
11 PACIFICO,1104 TEPIC
60 PUEBLA,6002 PUEBLA
40 METRO ORIENTE,4005 ACOLMAN
30 COSTA OCCIDENTE,3004 COLIMA
50 METRO NORPONIENTE,5005 AZCAPOTZALCO
32 MICHOACÁN,3204 PATZCUARO
30 COSTA OCCIDENTE,3002 JALISCO SUR
21 HUASTECA,2101 AGUASCALIENTES
42 SUR,4203 CUAUTLA
51 METRO PONIENTE,5106 NAUCALPAN
41 METRO SURORIENTE,4102 ALVARO OBREGON
61 CHIAPAS,6104 JUCHITAN
10 FRONTERA OESTE,1001 TIJUANA
52 VALLE DE TOLUCA,5205 ATLACOMULCO
21 HUASTECA,2105 TULA
50 METRO NORPONIENTE,5005 AZCAPOTZALCO
10 FRONTERA OESTE,1003 GUAYMAS Y NOGALES
33 BAJIO,3302 SAN MIGUEL DE ALLENDE
21 HUASTECA,2103 SAN LUIS FORANEO
40 METRO ORIENTE,4003 CHIMALHUACAN
41 METRO SURORIENTE,4105 TLAHUAC
10 FRONTERA OESTE,1002 MEXICALI
30 COSTA OCCIDENTE,3002 JALISCO SUR
40 METRO ORIENTE,4001 GUSTAVO A. MADERO
62 PENINSULA,6205 PLAYA DEL CARMEN
10 FRONTERA OESTE,1002 MEXICALI
63 GOLFO,6303 VILLAHERMOSA
20 NORESTE,2002 GUADALUPE
41 METRO SURORIENTE,4107 XOCHIMILCO
32 MICHOACÁN,3203 ZACAPU
61 CHIAPAS,6101 TUXTLA
41 METRO SURORIENTE,4107 XOCHIMILCO
52 VALLE DE TOLUCA,5206 CHIAUTEMPAN
32 MICHOACÁN,3201 MORELIA
21 HUASTECA,2101 AGUASCALIENTES
33 BAJIO,3302 SAN MIGUEL DE ALLENDE
62 PENINSULA,6201 CANCUN
21 HUASTECA,2106 PACHUCA
10 FRONTERA OESTE,1003 GUAYMAS Y NOGALES
31 JALISCO,3105 TLAQUEPAQUE
32 MICHOACÁN,3201 MORELIA
33 BAJIO,3304 CELAYA
10 FRONTERA OESTE,1003 GUAYMAS Y NOGALES
50 METRO NORPONIENTE,5005 AZCAPOTZALCO
30 COSTA OCCIDENTE,3003 OCOTLAN
60 PUEBLA,6006 XALAPA
40 METRO ORIENTE,4001 GUSTAVO A. MADERO
33 BAJIO,3303 IRAPUATO
32 MICHOACÁN,3204 PATZCUARO
40 METRO ORIENTE,4006 ECATEPEC
60 PUEBLA,6003 ZACAPOAXTLA
21 HUASTECA,2104 ZACATECAS
51 METRO PONIENTE,5101 CUAUHTEMOC
60 PUEBLA,6004 VERACRUZ
12 LAGUNA CHIHUAHUA,1204 CHIHUAHUA DELICIAS
20 NORESTE,2003 MONTERREY
31 JALISCO,3105 TLAQUEPAQUE
10 FRONTERA OESTE,1001 TIJUANA
60 PUEBLA,6005 ORIZABA
52 VALLE DE TOLUCA,5206 CHIAUTEMPAN
42 SUR,4208 OAXACA
20 NORESTE,2007 POZA RICA
33 BAJIO,3302 SAN MIGUEL DE ALLENDE
60 PUEBLA,6006 XALAPA
50 METRO NORPONIENTE,5003 TLALNEPANTLA
42 SUR,4206 PUNGARABATO
50 METRO NORPONIENTE,5001 CUAUTITLAN IZCALLI
41 METRO SURORIENTE,4105 TLAHUAC
21 HUASTECA,2104 ZACATECAS
30 COSTA OCCIDENTE,3001 PUERTO VALLARTA
60 PUEBLA,6005 ORIZABA
42 SUR,4205 ACAPULCO
11 PACIFICO,1104 TEPIC
31 JALISCO,3101 ALTOS JALISCO
62 PENINSULA,6205 PLAYA DEL CARMEN
12 LAGUNA CHIHUAHUA,1203 JUAREZ
61 CHIAPAS,6101 TUXTLA
33 BAJIO,3304 CELAYA
33 BAJIO,3304 CELAYA
60 PUEBLA,6002 PUEBLA
